 ,Area,XM,YM,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
135,1940.7,299.474,1114.709,55.218,44.749,60.767,54.996,403,1614,50.194,44.98
136,1784.512,1200.083,1120.276,59.312,38.308,42.547,60.048,1674,1620,39.289,38.288
137,2256.052,181.311,1146.264,58.664,48.965,91.393,60.492,245,1669,77.905,49.995
138,2107.797,1323.312,1141.492,64.544,41.58,31.785,65.694,1839,1644,30.964,42.351
139,1955.08,610.47,1144.593,59.802,41.625,37.205,60.266,830,1645,30.16,42.128
140,2255.556,1051.377,1151.355,68.218,42.098,29.063,67.194,1459,1666,38.191,42.828
141,2124.655,1436.204,1159.15,56.602,47.794,58.547,58.695,2019,1683,59.744,49.291
142,1782.033,489.359,1170.823,53.086,42.741,36.916,53.858,668,1690,48.18,42.821
143,2365.632,1550.454,1182.073,59.344,50.755,67.679,61.144,2178,1712,51.546,51.368
144,2040.363,924.313,1182.954,57.803,44.943,16.809,59.658,1278,1701,30.5,44.362
145,2486.12,1659.678,1198.339,68.888,45.95,78.495,70.924,2338,1747,65.98,45.77
146,1987.805,806.145,1204.698,52.304,48.389,39.454,54.33,1113,1736,47.626,49.185
147,1938.717,371.72,1203.591,54.31,45.451,46.866,55.771,505,1743,52.696,45.808
148,1911.942,64.156,1205.793,64.307,37.855,35.73,65.004,56,1740,39.726,39.364
149,2051.272,690.082,1230.062,55.497,47.061,4.487,57.534,942,1760,21.541,46.474
150,2191.097,1125.161,1239.416,77.547,35.976,47.158,78.897,1562,1799,49.343,37.344
151,1952.6,257.098,1234.273,61.683,40.305,58.426,62.496,343,1791,56.489,41.062
152,1950.121,1765.567,1234.878,54.581,45.491,86.7,55.526,2498,1715,102.45,46.474
153,2042.347,1243.42,1239.139,54.858,47.402,145.817,55.553,1742,1729,120.466,48.098
154,2019.042,1358.95,1256.311,52.014,49.424,80.327,54.852,1910,1754,119.197,48.978
155,1997.722,568.429,1258.144,52.181,48.746,150.264,53.032,770,1781,169.287,48.181
156,2018.051,1003.022,1269.307,62.608,41.041,61.378,64.02,1405,1844,60.333,43.291
157,1949.625,454.002,1287.361,56.013,44.318,60.615,55.521,638,1867,74.554,43.802
158,2049.784,893.976,1299.402,59.428,43.917,140.025,60.287,1229,1833,157.329,43.781
159,2048.793,782.703,1317.109,57.619,45.273,150.544,58.695,1078,1845,149.744,45.648
